shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4525_55,53.3176155,-6.3682192,464,10318.966
4525_55,53.3176087,-6.3683436,465,10327.291
4525_55,53.3176097,-6.3684352,466,10333.397
4525_55,53.3176155,-6.3686019,467,10344.525
4525_55,53.3176267,-6.3687414,468,10353.906
4525_55,53.3176492,-6.3689156,469,10365.782
4525_55,53.3176718,-6.3690581,470,10375.607
4525_55,53.3176909,-6.3692372,471,10387.731
4525_55,53.3176943,-6.3693956,472,10398.294
4525_55,53.3176921,-6.3695973,473,10411.739
4525_55,53.3176743,-6.3698624,474,10429.517
4525_55,53.3176538,-6.3699992,475,10438.916
4525_55,53.3175996,-6.370312,476,10460.617
4525_55,53.3172196,-6.3723401,477,10602.244
4525_55,53.3170992,-6.3729126,478,10642.684
4525_55,53.3170902,-6.3729577,479,10645.852
4525_55,53.3170729,-6.3730576,480,10652.783
4525_55,53.3169481,-6.3732035,481,10669.738
4525_55,53.3168484,-6.3737539,482,10708.062
4525_55,53.3168122,-6.3738773,483,10717.22
4525_55,53.316762,-6.3739428,484,10724.31
4525_55,53.3166801,-6.3739898,485,10733.948
4525_55,53.3165827,-6.3740058,486,10744.84
4525_55,53.3164079,-6.3738773,487,10766.096
4525_55,53.3162847,-6.3737928,488,10780.919
4525_55,53.3162736386377,-6.37378247332836,489,10782.329
4525_55,53.3162061,-6.3737191,490,10790.951
4525_55,53.3161248,-6.3736341,491,10801.626
4525_55,53.3160616,-6.3735187,492,10812.049
4525_55,53.3160441,-6.3734705,493,10815.806
4525_55,53.3160211,-6.3734069,494,10820.757
4525_55,53.3159907,-6.3732813,495,10829.786
4525_55,53.3159737,-6.3731582,496,10838.206
4525_55,53.3159735,-6.3730082,497,10848.203
4525_55,53.3159956,-6.3728325,498,10860.169
4525_55,53.3160285,-6.3726991,499,10869.784
4525_55,53.3160795,-6.3725983,500,10878.579
4525_55,53.316135,-6.3725524,501,10885.472
4525_55,53.3161854,-6.3725317,502,10891.248
4525_55,53.3161914,-6.372567,503,10893.694
4525_55,53.3162018,-6.3725994,504,10896.144
4525_55,53.3162143,-6.372624,505,10898.294
4525_55,53.3162293,-6.3726443,506,10900.443
4525_55,53.3162575,-6.3726659,507,10903.896
4525_55,53.3162814,-6.3726721,508,10906.588
4525_55,53.3163056,-6.3726684,509,10909.292
4525_55,53.3163235,-6.3727583,510,10915.606
4525_55,53.3163488,-6.3728857,511,10924.552
4525_55,53.3164132,-6.3730575,512,10938.06
4525_55,53.3164356,-6.3731139,513,10942.571
4525_55,53.3164661,-6.3731905,514,10948.701
4525_55,53.3165456,-6.373353,515,10962.686
4525_55,53.3166006,-6.3734317,516,10970.747
4525_55,53.3166692,-6.3735107,517,10980.021
4525_55,53.3167935,-6.3736136,518,10995.462
4525_55,53.3172933,-6.3739853,519,11056.353
4525_55,53.317561,-6.3741958,520,11089.284
4525_55,53.317648,-6.3742506,521,11099.632
4525_55,53.3177057,-6.3742881,522,11106.523
4525_55,53.3177629,-6.3743213,523,11113.263
4525_55,53.3178898,-6.3743811,524,11127.938
4525_55,53.3179199,-6.3743952,525,11131.417
4525_55,53.3179252,-6.3744571,526,11135.584
4525_55,53.3179415,-6.3745134,527,11139.752
4525_55,53.3179672,-6.3745589,528,11143.92
4525_55,53.3179998,-6.3745892,529,11148.072
4525_55,53.3180365,-6.3746015,530,11152.238
4525_55,53.3180737,-6.3745947,531,11156.403
4525_55,53.3181013,-6.3748578,532,11174.205
4525_55,53.3181304,-6.3750915,533,11190.113
4525_55,53.3181411631323,-6.37514701793063,534,11194.002
4525_55,53.3181696,-6.3752928,535,11204.22
4525_55,53.3182197,-6.3754924,536,11218.643
4525_55,53.3182992,-6.3758324,537,11242.969
4525_55,53.3183454,-6.376061,538,11259.048
4525_55,53.3183812,-6.376297,539,11275.273
4525_55,53.3184446,-6.3766866,540,11302.179
4525_55,53.3185031,-6.3769797,541,11322.769
4525_55,53.3185602,-6.3772206,542,11340.036
4525_55,53.3186402,-6.3775759,543,11365.333
4525_55,53.3187245,-6.3779028,544,11389.053
4525_55,53.3187893,-6.3780691,545,11402.276
4525_55,53.318848,-6.3782203,546,11414.285
4525_55,53.3189352,-6.3783951,547,11429.447
4525_55,53.3189808,-6.37848,548,11437.048
4525_55,53.3191255,-6.378723,549,11459.886
